Hour,P_ex_12_1_to_2,P_ex_21_2_to_1,Net_Trade
147,0.394281,0.0,0.394281
148,0.39663899999999996,0.0,0.39663899999999996
149,0.42116400000000004,0.0,0.42116400000000004
150,0.494758,0.0,0.494758
151,0.553742,0.0,0.553742
152,0.0,0.812,-0.812
153,0.0,0.589,-0.589
154,0.11148000000000002,0.0,0.11148000000000002
155,0.055253,0.0,0.055253
156,0.060056999999999916,0.0,0.060056999999999916
157,0.11848900000000007,0.0,0.11848900000000007
158,0.23315500000000006,0.0,0.23315500000000006
159,0.4468540000000001,0.0,0.4468540000000001
160,0.6529020000000001,0.0,0.6529020000000001
161,0.0,0.994,-0.994
162,0.0,1.011,-1.011
163,0.0,0.96,-0.96
164,0.0,0.925,-0.925
165,0.0,0.94,-0.94
166,0.0,0.957,-0.957
167,0.0,0.955,-0.955
